"filename", "language", "Dart", "comment", "blank", "total"
"/Users/lxdklp/Code/FML/lib/pages/download/download_version/loader/download_vanilla.dart", "Dart", 5, 0, 0, 5
"/Users/lxdklp/Code/FML/lib/pages/download/modrinth/type/download_modpack/donwnload_info.dart", "Dart", 131, 1, 7, 139
"/Users/lxdklp/Code/FML/lib/pages/download/modrinth/type/download_modpack/download_modpack.dart", "Dart", 24, 0, 4, 28
"/Users/lxdklp/Code/FML/lib/pages/download/modrinth/type/modpack.dart", "Dart", -208, -7, -9, -224
"Total", "-", -48, -6, 2, -52
